x,ideal_y,test_y,distance,result,ideal_function_number
-20.0,100.0,99.261604,0.7383959999999945,True,y36
-16.2,81.0,80.32605,0.6739500000000049,True,y36
-8.1,40.5,41.723595,1.223595000000003,True,y36
-7.3,36.5,37.313965,0.8139650000000032,True,y36
-6.8,34.0,34.77236,0.772359999999999,True,y36
-3.8,19.0,18.251514,0.7484859999999998,True,y36
-2.9,14.5,13.796733999999999,0.7032660000000011,True,y36
-2.8,14.0,13.655835999999999,0.344164000000001,True,y36
-1.0,5.0,4.13364,0.8663600000000002,True,y36
0.1,0.5,1.154942,0.6549419999999999,True,y36
0.2,1.0,-0.17285825,1.17285825,True,y36
0.5,2.5,2.4143673999999997,0.08563260000000028,True,y36
0.5,2.5,1.6080067,0.8919933,True,y36
1.6,8.0,9.33222,1.3322199999999995,True,y36
2.4,12.0,13.258442,1.2584420000000005,True,y36
5.8,29.0,28.826636999999998,0.17336300000000193,True,y36
6.2,31.0,30.448309000000002,0.5516909999999982,True,y36
9.3,46.5,46.964706,0.4647059999999996,True,y36
9.7,48.5,48.932520000000004,0.4325200000000038,True,y36
11.6,58.0,57.546875,0.453125,True,y36
13.4,67.0,65.792496,1.2075040000000001,True,y36
15.1,75.5,75.25758,0.24241999999999564,True,y36
18.1,90.5,89.33668,1.1633199999999988,True,y36
