x,ideal_y,test_y,distance,result,ideal_function_number
-20.0,-20.0,-19.347134,0.6528659999999995,True,y11
-11.1,-11.1,-11.129228,0.02922799999999981,True,y11
-4.9,-4.9,-5.120785,0.22078499999999934,True,y11
-3.2,-3.2,-3.7390822999999997,0.5390822999999996,True,y11
-2.7,-2.7,-1.6819548999999998,1.0180451000000004,True,y11
-0.5,-0.5,0.6526604,1.1526604,True,y11
0.1,0.1,1.154942,1.0549419999999998,True,y11
0.2,0.2,-0.17285825,0.37285825,True,y11
0.5,0.5,1.6080067,1.1080067,True,y11
2.9,2.9,2.714772,0.18522799999999995,True,y11
4.2,4.2,3.679699,0.5203010000000003,True,y11
4.7,4.7,4.5685735,0.1314264999999999,True,y11
4.9,4.9,4.4963365,0.4036635000000004,True,y11
6.7,6.7,7.405297999999999,0.7052979999999991,True,y11
6.9,6.9,7.529588,0.629588,True,y11
7.2,7.2,6.6985793000000005,0.5014206999999997,True,y11
7.8,7.8,7.945975,0.14597499999999997,True,y11
9.0,9.0,9.132467,0.1324670000000001,True,y11
9.1,9.1,10.091935000000001,0.9919350000000016,True,y11
9.2,9.2,8.35989,0.8401099999999992,True,y11
9.6,9.6,8.792373,0.8076270000000001,True,y11
12.5,12.5,12.437278,0.06272200000000083,True,y11
12.9,12.9,11.8070135,1.0929865000000003,True,y11
14.5,14.5,14.734339000000002,0.23433900000000207,True,y11
16.3,16.3,16.993471,0.6934709999999988,True,y11
16.8,16.8,17.516111,0.7161109999999979,True,y11
17.1,17.1,18.14629,1.046289999999999,True,y11
17.9,17.9,17.754583,0.14541699999999835,True,y11
18.9,18.9,18.88673,0.01326999999999856,True,y11
19.7,19.7,19.575151,0.12484899999999755,True,y11
