x,ideal_y,test_y,distance,result,ideal_function_number
-17.5,17.642279000000002,16.389914,1.252365000000001,True,y33
-17.4,17.543089000000002,16.138560000000002,1.4045290000000001,True,y33
-17.1,17.245579,15.988693,1.2568859999999997,True,y33
-16.7,16.849035,16.142563,0.7064720000000015,True,y33
-15.1,15.264664999999999,14.192294,1.0723709999999986,True,y33
-14.2,14.374978,15.1473255,0.7723475000000004,True,y33
-13.8,13.979985000000001,14.865582999999999,0.8855979999999981,True,y33
-11.4,11.6172285,10.554388000000001,1.0628404999999983,True,y33
-7.8,8.114185,9.451261,1.3370759999999997,True,y33
-7.2,7.539231,8.389769,0.8505379999999994,True,y33
-7.0,7.3484693,8.068539,0.7200696999999998,True,y33
-5.2,5.6603885,6.369374,0.7089854999999998,True,y33
-1.7,2.8089144,3.5454068,0.7364923999999999,True,y33
0.1,2.2383029999999997,1.154942,1.0833609999999998,True,y33
0.1,2.2383029999999997,1.9481974999999998,0.2901054999999999,True,y33
0.5,2.291288,2.4143673999999997,0.1230793999999995,True,y33
0.5,2.291288,1.6080067,0.6832813000000002,True,y33
2.9,3.6619667999999996,2.714772,0.9471947999999997,True,y33
4.2,4.758151,3.679699,1.078452,True,y33
4.7,5.204805400000001,4.5685735,0.6362319000000003,True,y33
4.9,5.386093,4.4963365,0.8897564999999998,True,y33
6.7,7.063285400000001,7.405297999999999,0.34201259999999856,True,y33
6.9,7.253275,7.529588,0.27631300000000003,True,y33
7.2,7.539231,6.6985793000000005,0.8406516999999996,True,y33
7.8,8.114185,7.945975,0.16821000000000108,True,y33
9.0,9.273619,9.132467,0.14115199999999994,True,y33
9.1,9.370699,10.091935000000001,0.7212360000000011,True,y33
9.2,9.467839999999999,8.35989,1.1079499999999989,True,y33
9.6,9.856977,8.792373,1.064604000000001,True,y33
12.5,12.698425,12.437278,0.26114700000000113,True,y33
12.9,13.092364,11.8070135,1.2853504999999998,True,y33
14.5,14.671401000000001,14.734339000000002,0.06293800000000083,True,y33
16.3,16.45266,16.993471,0.5408109999999979,True,y33
16.8,16.948156,17.516111,0.5679549999999978,True,y33
17.1,17.245579,18.14629,0.9007110000000011,True,y33
17.9,18.039123999999997,17.754583,0.28454099999999727,True,y33
18.9,19.031814999999998,18.88673,0.14508499999999813,True,y33
19.7,19.826498,19.575151,0.2513469999999991,True,y33
